7zip 25.01-1
a52dec 0.8.0-2
aalib 1.4rc5-19
aarch64-linux-gnu-binutils 2.44-3
aarch64-linux-gnu-gcc 15.1.0-2
aarch64-linux-gnu-gdb 16.2-1
aarch64-linux-gnu-glibc 2.41-3
aarch64-linux-gnu-linux-api-headers 6.12-1
abseil-cpp 20250814.1-1
accounts-qml-module 0.7-6
accountsservice 23.13.9-2
ack 3.8.1-1
acl 2.3.2-1
acpi 1.8-2
acpi_call 1.2.2-319
acpid 2.0.34-2
ada 3.3.0-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adobe-source-han-sans-cn-fonts 2.005-1
adobe-source-han-sans-hk-fonts 2.005-1
adobe-source-han-sans-jp-fonts 2.005-1
adobe-source-han-sans-kr-fonts 2.005-1
adobe-source-han-sans-otc-fonts 2.005-1
adobe-source-han-sans-tw-fonts 2.005-1
adobe-source-han-serif-cn-fonts 2.003-1
adobe-source-han-serif-jp-fonts 2.003-1
adobe-source-han-serif-kr-fonts 2.003-1
adobe-source-han-serif-otc-fonts 2.003-1
adobe-source-han-serif-tw-fonts 2.003-1
adobe-source-sans-fonts 3.052-2
adobe-source-serif-fonts 4.005-2
adwaita-cursors 49.0-1
adwaita-fonts 49.0-2
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
afl++ 4.32c-2
afpfs-ng 0.8.2-4
aircrack-ng 1.7-5
airspy 1.0.10-5
alacritty 0.16.1-1
alsa-card-profiles 1:1.4.9-1
alsa-lib 1.2.14-2
alsa-plugins 1:1.2.12-5
alsa-tools 1.2.14-3
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
alsa-utils 1.2.14-1
ams 2.2.1-2
ams-lv2 1.2.2-4
android-apktool 2.7.0-1
android-file-transfer 4.5-2
android-tools 35.0.2-22
android-udev 20250525-1
ant 1.10.15-1
antlr4 4.13.2-1
aom 3.13.1-1
apache 2.4.65-4
apparmor 4.1.2-1
appstream 1.1.1-1
appstream-glib 0.8.3-2
apr 1.7.6-1
apr-util 1.6.3-2
arandr 0.1.11-5
arch-install-scripts 31-1
archlinux-keyring 20251116-1
arcus 4.13.1-3
ardour 8.12-4
arduino-cli 1.3.1-2
arduino-fwuploader 2.4.1-2
arduino-ide 2.3.4-1
argon2 20190702-6
aria2 1.37.0-2
aribb24 1.0.3-4
arj 3.10.22-14
arpack 3.9.1-3
asciiquarium 1.1-7
aspell 0.60.8.1-2
assimp 6.0.2-1
at-spi2-core 2.58.2-1
atkmm 2.28.4-1
attica 6.20.0-1
attica5 5.116.0-2
attr 2.5.2-1
aubio 0.4.9-23
audacity 1:3.7.5-1
audiofile 0.3.6-11
audit 4.1.2-1
autoconf 2.72-1
autoconf-archive 1:2024.10.16-3
automake 1.18.1-1
avahi 1:0.9rc2-1
awesome-terminal-fonts 1.1.0-5
aws-cli 1.42.74-1
ayatana-ido 0.10.4-1
babl 0.1.116-1
base 3-2
base-devel 1-2
bash 5.3.3-2
bash-completion 2.17.0-1
bat 0.26.0-1
bbe 0.2.2-3
bbswitch 0.8-787
bc 1.08.2-1
bcg729 1.1.1-2
bcm4356a2-firmware 1201710-8
bcprov 1.82-1
bdf-unifont 14.0.02-1
beanshell 2.1.1-2
beep 1.4.12-2
biber 1:2.21-2
binaryen 1:124-1
bind 9.20.16-1
binutils 2.45.1-1
binwalk 3.1.0-1
bison 3.8.2-8
bladerf 2024.05-1
blas 3.12.1-2
blueman 2.4.6-1
bluez 5.85-1
bluez-libs 5.85-1
bluez-qt5 5.116.0-2
bluez-tools 0.2.0-6
bluez-utils 5.85-1
bm 0.4-2
bolt 0.9.10-1
boost 1.89.0-3
boost-libs 1.89.0-3
bootconfig 6.17-2
box2d 3.1.1-1
bpf 6.17-2
breeze-icons 6.20.0-1
brial 1.2.15-1
bridge-utils 1.7.1-2
brltty 6.8-4
brotli 1.1.0-3
bsd-games 3.3-3
btmenu 1.2.0-2
btrfs-progs 6.17.1-1
bubblewrap 0.11.0-1
